typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.536","false","8","kg","4.536","false","4.536","false","0","false",,"88","88","0","false","true",
"C","A","20240101","2024","52","2024","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","331.01","false","8","kg","331.01","false","331.01","false","0","false",,"3027.128","3027.128","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47519.95","false","8","kg","47519.95","false","47519.95","false","0","false",,"57603.3","57603.3","0","false","true",
"C","A","20240101","2024","52","2024","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","361","false","8","kg","361","false","361","false","0","false",,"416.5","416.5","0","false","true",
"C","A","20240101","2024","52","2024","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1407406.2","false","8","kg","1407406.2","false","1407406.2","false","0","false",,"11736129.719","11736129.719","0","false","true",
"C","A","20240101","2024","52","2024","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","569.04","false","8","kg","569.04","false","569.04","false","0","false",,"9364.308","9364.308","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39640.454","true","8","kg","38723","false","39652.454","true","0","false",,"588917","588917","6","false","true",
"C","A","20240101","2024","52","2024","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3033.81","false","8","kg","3033.81","false","3033.81","false","0","false",,"1452.6","1452.6","0","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6326.143","true","-1","N/A","0","false","6326.143","true","0","false",,"262567.239","262567.239","6","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","123588.32","false","8","kg","123588.32","false","123588.32","false","0","false",,"219319.98","219319.98","0","false","true",
